game_date_est,team_abbreviation_home,team_nickname_home,team_wins_losses_home,pts_home,team_abbreviation_away,team_nickname_away,team_wins_losses_away,pts_away
10/18/2022,BOS,Celtics,1-0,126,PHI,76ers,0-1,117
10/18/2022,GSW,Warriors,1-0,123,LAL,Lakers,0-1,109
10/19/2022,IND,Pacers,0-1,107,WAS,Wizards,1-0,114
10/19/2022,BKN,Nets,0-1,108,NOP,Pelicans,1-0,130
10/19/2022,SAC,Kings,0-1,108,POR,Trail Blazers,1-0,115
10/19/2022,SAS,Spurs,0-1,102,CHA,Hornets,1-0,129
10/19/2022,MIN,Timberwolves,1-0,115,OKC,Thunder,0-1,108
10/19/2022,MIA,Heat,0-1,108,CHI,Bulls,1-0,116
10/19/2022,ATL,Hawks,1-0,117,HOU,Rockets,0-1,107
10/19/2022,UTA,Jazz,1-0,123,DEN,Nuggets,0-1,102
10/19/2022,PHX,Suns,1-0,107,DAL,Mavericks,0-1,105
10/19/2022,TOR,Raptors,1-0,108,CLE,Cavaliers,0-1,105
10/19/2022,MEM,Grizzlies,1-0,115,NYK,Knicks,0-1,112
10/19/2022,DET,Pistons,1-0,113,ORL,Magic,0-1,109
10/20/2022,PHI,76ers,0-2,88,MIL,Bucks,1-0,90
10/20/2022,LAL,Lakers,0-2,97,LAC,Clippers,1-0,103
10/21/2022,BKN,Nets,1-1,109,TOR,Raptors,1-1,105
10/21/2022,HOU,Rockets,0-2,122,MEM,Grizzlies,2-0,129
10/21/2022,ATL,Hawks,2-0,108,ORL,Magic,0-2,98
10/21/2022,GSW,Warriors,1-1,123,DEN,Nuggets,1-1,128
10/21/2022,IND,Pacers,0-2,134,SAS,Spurs,1-1,137
10/21/2022,CHA,Hornets,1-1,112,NOP,Pelicans,2-0,124
10/21/2022,NYK,Knicks,1-1,130,DET,Pistons,1-1,106
10/21/2022,MIA,Heat,0-2,104,BOS,Celtics,2-0,111
10/21/2022,WAS,Wizards,2-0,102,CHI,Bulls,1-1,100
10/21/2022,POR,Trail Blazers,2-0,113,PHX,Suns,1-1,111
10/21/2022,MIN,Timberwolves,1-1,126,UTA,Jazz,2-0,132
10/22/2022,MIL,Bucks,2-0,125,HOU,Rockets,0-3,105
10/22/2022,ORL,Magic,0-3,120,BOS,Celtics,3-0,126
10/22/2022,CHI,Bulls,1-2,96,CLE,Cavaliers,1-1,128
10/22/2022,DAL,Mavericks,1-1,137,MEM,Grizzlies,2-1,96
10/22/2022,MIA,Heat,1-2,112,TOR,Raptors,1-2,109
10/22/2022,PHI,76ers,0-3,105,SAS,Spurs,2-1,114
10/22/2022,IND,Pacers,1-2,124,DET,Pistons,1-2,115
10/22/2022,SAC,Kings,0-2,109,LAC,Clippers,2-0,111
10/22/2022,DEN,Nuggets,2-1,122,OKC,Thunder,0-2,117
10/23/2022,LAC,Clippers,2-1,95,PHX,Suns,2-1,112
10/23/2022,OKC,Thunder,0-3,106,MIN,Timberwolves,2-1,116
10/23/2022,ATL,Hawks,2-1,109,CHA,Hornets,2-1,126
10/23/2022,CLE,Cavaliers,2-1,117,WAS,Wizards,2-1,107
10/23/2022,LAL,Lakers,0-3,104,POR,Trail Blazers,3-0,106
10/23/2022,NOP,Pelicans,2-1,121,UTA,Jazz,3-0,122
10/23/2022,GSW,Warriors,2-1,130,SAC,Kings,0-3,125
10/24/2022,MIN,Timberwolves,2-2,106,SAS,Spurs,3-1,115
10/24/2022,NYK,Knicks,2-1,115,ORL,Magic,0-4,102
10/24/2022,MIA,Heat,1-3,90,TOR,Raptors,2-2,98
10/24/2022,POR,Trail Blazers,4-0,135,DEN,Nuggets,2-2,110
10/24/2022,PHI,76ers,1-3,120,IND,Pacers,1-3,106
10/24/2022,CHI,Bulls,2-2,120,BOS,Celtics,3-1,102
10/24/2022,MEM,Grizzlies,3-1,134,BKN,Nets,1-2,124
10/24/2022,HOU,Rockets,1-3,114,UTA,Jazz,3-1,108
10/25/2022,NOP,Pelicans,3-1,113,DAL,Mavericks,1-2,111
10/25/2022,WAS,Wizards,3-1,120,DET,Pistons,1-3,99
10/25/2022,PHX,Suns,3-1,134,GSW,Warriors,2-2,105
10/25/2022,OKC,Thunder,1-3,108,LAC,Clippers,2-2,94
10/26/2022,NYK,Knicks,3-1,134,CHA,Hornets,2-2,131
10/26/2022,POR,Trail Blazers,4-1,98,MIA,Heat,2-3,119
10/26/2022,MIN,Timberwolves,3-2,134,SAS,Spurs,3-2,122
10/26/2022,CHI,Bulls,3-2,124,IND,Pacers,1-4,109
10/26/2022,DET,Pistons,1-4,113,ATL,Hawks,3-1,118
10/26/2022,TOR,Raptors,3-2,119,PHI,76ers,1-4,109
10/26/2022,UTA,Jazz,4-1,109,HOU,Rockets,1-4,101
10/26/2022,DEN,Nuggets,3-2,110,LAL,Lakers,0-4,99
10/26/2022,CLE,Cavaliers,3-1,103,ORL,Magic,0-5,92
10/26/2022,MIL,Bucks,3-0,110,BKN,Nets,1-3,99
10/27/2022,GSW,Warriors,3-2,123,MIA,Heat,2-4,110
10/27/2022,BKN,Nets,1-4,125,DAL,Mavericks,2-2,129
10/27/2022,SAC,Kings,0-4,110,MEM,Grizzlies,4-1,125
10/27/2022,OKC,Thunder,2-3,118,LAC,Clippers,2-3,110
10/28/2022,SAS,Spurs,4-2,129,CHI,Bulls,3-3,124
10/28/2022,BOS,Celtics,3-2,123,CLE,Cavaliers,4-1,132
10/28/2022,WAS,Wizards,3-2,117,IND,Pacers,2-4,127
10/28/2022,PHX,Suns,4-1,124,NOP,Pelicans,3-2,111
10/28/2022,POR,Trail Blazers,5-1,125,HOU,Rockets,1-5,111
10/28/2022,DEN,Nuggets,4-2,117,UTA,Jazz,4-2,101
10/28/2022,MIL,Bucks,4-0,119,NYK,Knicks,3-2,108
10/28/2022,TOR,Raptors,3-3,90,PHI,76ers,2-4,112
10/28/2022,DET,Pistons,1-5,112,ATL,Hawks,4-1,136
10/28/2022,MIN,Timberwolves,4-2,111,LAL,Lakers,0-5,102
10/28/2022,ORL,Magic,1-5,113,CHA,Hornets,2-3,93
10/29/2022,CHA,Hornets,3-3,120,GSW,Warriors,3-3,113
10/29/2022,MIL,Bucks,5-0,123,ATL,Hawks,4-2,115
10/29/2022,BKN,Nets,1-5,116,IND,Pacers,3-4,125
10/29/2022,UTA,Jazz,5-2,124,MEM,Grizzlies,4-2,123
10/29/2022,CHI,Bulls,3-4,109,PHI,76ers,3-4,114
10/29/2022,DAL,Mavericks,2-3,111,OKC,Thunder,3-3,117
10/29/2022,SAC,Kings,1-4,119,MIA,Heat,2-5,113
10/30/2022,DET,Pistons,2-5,128,GSW,Warriors,3-4,114
10/30/2022,DAL,Mavericks,3-3,114,ORL,Magic,1-6,105
10/30/2022,SAS,Spurs,5-2,107,MIN,Timberwolves,4-3,98
10/30/2022,BOS,Celtics,4-2,112,WAS,Wizards,3-3,94
10/30/2022,LAL,Lakers,1-5,121,DEN,Nuggets,4-3,110
10/30/2022,PHX,Suns,5-1,124,HOU,Rockets,1-6,109
10/30/2022,CLE,Cavaliers,5-1,121,NYK,Knicks,3-3,108
10/30/2022,LAC,Clippers,2-4,91,NOP,Pelicans,4-2,112
10/31/2022,WAS,Wizards,3-4,111,PHI,76ers,4-4,118
10/31/2022,BKN,Nets,2-5,116,IND,Pacers,3-5,109
10/31/2022,CHA,Hornets,3-4,108,SAC,Kings,2-4,115
10/31/2022,LAC,Clippers,3-4,95,HOU,Rockets,1-7,93
10/31/2022,UTA,Jazz,6-2,121,MEM,Grizzlies,4-3,105
10/31/2022,TOR,Raptors,4-3,139,ATL,Hawks,4-3,109
10/31/2022,MIL,Bucks,6-0,110,DET,Pistons,2-6,108
11/1/2022,PHX,Suns,6-1,116,MIN,Timberwolves,4-4,107
11/1/2022,OKC,Thunder,4-3,116,ORL,Magic,1-7,108
11/1/2022,BKN,Nets,2-6,99,CHI,Bulls,4-4,108
11/1/2022,MIA,Heat,3-5,116,GSW,Warriors,3-5,109
11/2/2022,HOU,Rockets,1-8,101,LAC,Clippers,4-4,109
11/2/2022,NYK,Knicks,3-4,99,ATL,Hawks,5-3,112
11/2/2022,CHI,Bulls,5-4,106,CHA,Hornets,3-5,88
11/2/2022,CLE,Cavaliers,6-1,114,BOS,Celtics,4-3,113
11/2/2022,MIL,Bucks,7-0,116,DET,Pistons,2-7,91
11/2/2022,MIA,Heat,4-5,110,SAC,Kings,2-5,107
11/2/2022,PHI,76ers,4-5,111,WAS,Wizards,4-4,121
11/2/2022,LAL,Lakers,2-5,120,NOP,Pelicans,4-3,117
11/2/2022,POR,Trail Blazers,5-2,106,MEM,Grizzlies,5-3,111
11/2/2022,DAL,Mavericks,4-3,103,UTA,Jazz,6-3,100
11/2/2022,SAS,Spurs,5-3,100,TOR,Raptors,5-3,143
11/3/2022,ORL,Magic,2-7,130,GSW,Warriors,3-6,129
11/3/2022,OKC,Thunder,4-4,110,DEN,Nuggets,5-3,122
11/4/2022,SAS,Spurs,5-4,106,LAC,Clippers,5-4,113
11/4/2022,LAL,Lakers,2-6,116,UTA,Jazz,7-3,130
11/4/2022,BOS,Celtics,5-3,123,CHI,Bulls,5-5,119
11/4/2022,PHX,Suns,6-2,106,POR,Trail Blazers,6-2,108
11/4/2022,DAL,Mavericks,5-3,111,TOR,Raptors,5-4,110
11/4/2022,IND,Pacers,4-5,101,MIA,Heat,4-6,99
11/4/2022,PHI,76ers,4-6,104,NYK,Knicks,4-4,106
11/4/2022,DET,Pistons,2-8,88,CLE,Cavaliers,7-1,112
11/4/2022,MIN,Timberwolves,4-5,102,MIL,Bucks,8-0,115
11/4/2022,WAS,Wizards,4-5,86,BKN,Nets,3-6,128
11/4/2022,MEM,Grizzlies,6-3,130,CHA,Hornets,3-6,99
11/4/2022,NOP,Pelicans,5-3,114,GSW,Warriors,3-7,105
11/5/2022,MIL,Bucks,9-0,108,OKC,Thunder,4-5,94
11/5/2022,NYK,Knicks,4-5,118,BOS,Celtics,6-3,133
11/5/2022,ATL,Hawks,6-3,124,NOP,Pelicans,5-4,121
11/5/2022,ORL,Magic,2-8,123,SAC,Kings,3-5,126
11/5/2022,MIN,Timberwolves,5-5,129,HOU,Rockets,1-9,117
11/5/2022,DEN,Nuggets,6-3,126,SAS,Spurs,5-5,101
11/5/2022,PHX,Suns,7-2,102,POR,Trail Blazers,6-3,82
11/5/2022,CHA,Hornets,3-7,94,BKN,Nets,4-6,98
11/6/2022,MEM,Grizzlies,7-3,103,WAS,Wizards,4-6,97
11/6/2022,TOR,Raptors,6-4,113,CHI,Bulls,5-6,104
11/6/2022,LAC,Clippers,5-5,102,UTA,Jazz,8-3,110
11/6/2022,LAL,Lakers,2-7,100,CLE,Cavaliers,8-1,114
11/7/2022,DET,Pistons,3-8,112,OKC,Thunder,4-6,103
11/7/2022,LAC,Clippers,6-5,119,CLE,Cavaliers,8-2,117
11/7/2022,SAS,Spurs,5-6,109,DEN,Nuggets,7-3,115
11/7/2022,MEM,Grizzlies,7-4,106,BOS,Celtics,7-3,109
11/7/2022,PHI,76ers,5-6,100,PHX,Suns,7-3,88
11/7/2022,MIN,Timberwolves,5-6,107,NYK,Knicks,5-5,120
11/7/2022,CHA,Hornets,3-8,100,WAS,Wizards,5-6,108
11/7/2022,CHI,Bulls,6-6,111,TOR,Raptors,6-5,97
11/7/2022,IND,Pacers,5-5,129,NOP,Pelicans,5-5,122
11/7/2022,ATL,Hawks,7-3,117,MIL,Bucks,9-1,98
11/7/2022,DAL,Mavericks,6-3,96,BKN,Nets,4-7,94
11/7/2022,GSW,Warriors,4-7,116,SAC,Kings,3-6,113
11/7/2022,UTA,Jazz,9-3,139,LAL,Lakers,2-8,116
11/7/2022,ORL,Magic,2-9,127,HOU,Rockets,2-9,134
11/7/2022,MIA,Heat,4-7,107,POR,Trail Blazers,7-3,110
11/9/2022,IND,Pacers,5-6,119,DEN,Nuggets,8-3,122
11/9/2022,ORL,Magic,3-9,94,DAL,Mavericks,6-4,87
11/9/2022,MIN,Timberwolves,5-7,117,PHX,Suns,8-3,129
11/9/2022,SAS,Spurs,5-7,122,MEM,Grizzlies,8-4,124
11/9/2022,LAC,Clippers,7-5,114,LAL,Lakers,2-9,101
11/9/2022,CHA,Hornets,3-9,95,POR,Trail Blazers,8-3,105
11/9/2022,TOR,Raptors,7-5,116,HOU,Rockets,2-10,109
11/9/2022,BKN,Nets,5-7,112,NYK,Knicks,5-6,85
11/9/2022,ATL,Hawks,7-4,119,UTA,Jazz,10-3,125
11/9/2022,BOS,Celtics,8-3,128,DET,Pistons,3-9,112
11/9/2022,CHI,Bulls,6-7,111,NOP,Pelicans,6-5,115
11/9/2022,OKC,Thunder,4-7,132,MIL,Bucks,10-1,136
11/9/2022,SAC,Kings,4-6,127,CLE,Cavaliers,8-3,120
11/10/2022,MIA,Heat,5-7,117,CHA,Hornets,3-10,112
11/10/2022,NOP,Pelicans,6-6,95,POR,Trail Blazers,9-3,106
11/10/2022,WAS,Wizards,6-6,113,DAL,Mavericks,6-5,105
11/10/2022,ATL,Hawks,8-4,104,PHI,76ers,5-7,95
11/11/2022,MEM,Grizzlies,9-4,114,MIN,Timberwolves,5-8,103
11/11/2022,NYK,Knicks,6-6,121,DET,Pistons,3-10,112
11/11/2022,BOS,Celtics,9-3,131,DEN,Nuggets,8-4,112
11/11/2022,OKC,Thunder,5-7,132,TOR,Raptors,7-6,113
11/11/2022,GSW,Warriors,5-7,106,CLE,Cavaliers,8-4,101
11/11/2022,SAS,Spurs,6-7,111,MIL,Bucks,10-2,93
11/11/2022,LAL,Lakers,2-10,114,SAC,Kings,5-6,120
11/11/2022,ORL,Magic,4-9,114,PHX,Suns,8-4,97
11/12/2022,LAC,Clippers,7-6,95,BKN,Nets,6-7,110
11/12/2022,IND,Pacers,6-6,118,TOR,Raptors,7-7,104
11/12/2022,MIA,Heat,6-7,132,CHA,Hornets,3-11,115
11/12/2022,PHI,76ers,6-7,121,ATL,Hawks,8-5,109
11/12/2022,WAS,Wizards,7-6,121,UTA,Jazz,10-4,112
11/12/2022,NOP,Pelicans,7-6,119,HOU,Rockets,2-11,106
11/12/2022,DET,Pistons,3-11,108,BOS,Celtics,10-3,117
11/12/2022,DAL,Mavericks,7-5,117,POR,Trail Blazers,9-4,112
11/13/2022,NYK,Knicks,6-7,135,OKC,Thunder,6-7,145
11/13/2022,CLE,Cavaliers,8-5,124,MIN,Timberwolves,6-8,129
11/13/2022,PHI,76ers,7-7,105,UTA,Jazz,10-5,98
11/13/2022,LAL,Lakers,3-10,116,BKN,Nets,6-8,103
11/13/2022,SAC,Kings,6-6,122,GSW,Warriors,5-8,115
11/13/2022,CHI,Bulls,6-8,103,DEN,Nuggets,9-4,126
11/13/2022,WAS,Wizards,8-6,102,MEM,Grizzlies,9-5,92
11/14/2022,HOU,Rockets,2-12,106,LAC,Clippers,8-6,122
11/14/2022,GSW,Warriors,6-8,132,SAS,Spurs,6-8,95
11/14/2022,ORL,Magic,4-10,105,CHA,Hornets,4-11,112
11/14/2022,MIL,Bucks,10-3,106,ATL,Hawks,9-5,121
11/14/2022,MIA,Heat,7-7,113,PHX,Suns,8-5,112
11/14/2022,DET,Pistons,3-12,111,TOR,Raptors,8-7,115
11/14/2022,BOS,Celtics,11-3,126,OKC,Thunder,6-8,122
11/15/2022,DAL,Mavericks,8-5,103,LAC,Clippers,8-7,101
11/15/2022,POR,Trail Blazers,10-4,117,SAS,Spurs,6-9,110
11/15/2022,UTA,Jazz,10-6,111,NYK,Knicks,7-7,118
11/15/2022,NOP,Pelicans,8-6,113,MEM,Grizzlies,9-6,102
11/15/2022,SAC,Kings,7-6,153,BKN,Nets,6-9,121
11/16/2022,DEN,Nuggets,9-5,103,NYK,Knicks,8-7,106
11/16/2022,CHA,Hornets,4-12,113,IND,Pacers,7-6,125
11/16/2022,PHX,Suns,9-5,130,GSW,Warriors,6-9,119
11/16/2022,WAS,Wizards,8-7,120,OKC,Thunder,7-8,121
11/16/2022,MIL,Bucks,11-3,113,CLE,Cavaliers,8-6,98
11/16/2022,NOP,Pelicans,9-6,124,CHI,Bulls,6-9,110
11/16/2022,TOR,Raptors,9-7,112,MIA,Heat,7-8,104
11/16/2022,ATL,Hawks,9-6,101,BOS,Celtics,12-3,126
11/16/2022,ORL,Magic,4-11,108,MIN,Timberwolves,7-8,126
11/16/2022,DAL,Mavericks,8-6,92,HOU,Rockets,3-12,101
11/17/2022,SAC,Kings,8-6,130,SAS,Spurs,6-10,112
11/17/2022,LAC,Clippers,9-7,96,DET,Pistons,3-13,91
11/17/2022,POR,Trail Blazers,10-5,107,BKN,Nets,7-9,109
11/18/2022,MEM,Grizzlies,10-6,121,OKC,Thunder,7-9,110
11/18/2022,CHI,Bulls,6-10,107,ORL,Magic,5-11,108
11/18/2022,NOP,Pelicans,9-7,109,BOS,Celtics,13-3,117
11/18/2022,HOU,Rockets,3-13,91,IND,Pacers,8-6,99
11/18/2022,CLE,Cavaliers,9-6,132,CHA,Hornets,4-13,122
11/18/2022,LAL,Lakers,4-10,128,DET,Pistons,3-14,121
11/18/2022,PHI,76ers,8-7,110,MIL,Bucks,11-4,102
11/18/2022,DAL,Mavericks,9-6,127,DEN,Nuggets,9-6,99
11/18/2022,UTA,Jazz,11-6,134,PHX,Suns,9-6,133
11/18/2022,WAS,Wizards,9-7,107,MIA,Heat,7-9,106
11/18/2022,GSW,Warriors,7-9,111,NYK,Knicks,8-8,101
11/19/2022,IND,Pacers,9-6,114,ORL,Magic,5-12,113
11/19/2022,LAC,Clippers,10-7,119,SAS,Spurs,6-11,97
11/19/2022,POR,Trail Blazers,10-6,113,UTA,Jazz,12-6,118
11/19/2022,PHI,76ers,8-8,109,MIN,Timberwolves,8-8,112
11/19/2022,ATL,Hawks,10-6,124,TOR,Raptors,9-8,122
11/20/2022,WAS,Wizards,10-7,106,CHA,Hornets,4-14,102
11/20/2022,HOU,Rockets,3-14,120,GSW,Warriors,8-9,127
11/20/2022,BKN,Nets,8-9,127,MEM,Grizzlies,10-7,115
11/20/2022,LAL,Lakers,5-10,123,SAS,Spurs,6-12,92
11/20/2022,SAC,Kings,9-6,137,DET,Pistons,3-15,129
11/20/2022,PHX,Suns,10-6,116,NYK,Knicks,8-9,95
11/20/2022,DAL,Mavericks,9-7,97,DEN,Nuggets,10-6,98
11/20/2022,CLE,Cavaliers,10-6,113,MIA,Heat,7-10,87
11/21/2022,CLE,Cavaliers,11-6,114,ATL,Hawks,10-7,102
11/21/2022,MIL,Bucks,12-4,119,POR,Trail Blazers,10-7,111
11/21/2022,IND,Pacers,10-6,123,ORL,Magic,5-13,102
11/21/2022,MIN,Timberwolves,9-8,105,MIA,Heat,7-11,101
11/21/2022,NOP,Pelicans,10-7,128,GSW,Warriors,8-10,83
11/21/2022,OKC,Thunder,7-10,119,NYK,Knicks,9-9,129
11/21/2022,LAC,Clippers,11-7,121,UTA,Jazz,12-7,114
11/21/2022,CHI,Bulls,7-10,121,BOS,Celtics,13-4,107
11/22/2022,PHI,76ers,9-8,115,BKN,Nets,8-10,106
11/22/2022,DEN,Nuggets,10-7,108,DET,Pistons,4-15,110
11/22/2022,MEM,Grizzlies,10-8,109,SAC,Kings,10-6,113
11/22/2022,PHX,Suns,11-6,115,LAL,Lakers,5-11,105
11/23/2022,ATL,Hawks,11-7,115,SAC,Kings,10-7,106
11/23/2022,CHA,Hornets,5-14,107,PHI,76ers,9-9,101
11/23/2022,MIL,Bucks,12-5,113,CHI,Bulls,8-10,118
11/23/2022,MIA,Heat,8-11,113,WAS,Wizards,10-8,105
11/23/2022,CLE,Cavaliers,12-6,114,POR,Trail Blazers,10-8,96
11/23/2022,SAS,Spurs,6-13,110,NOP,Pelicans,11-7,129
11/23/2022,UTA,Jazz,12-8,116,DET,Pistons,5-15,125
11/23/2022,GSW,Warriors,9-10,124,LAC,Clippers,11-8,107
11/23/2022,BOS,Celtics,14-4,125,DAL,Mavericks,9-8,112
11/23/2022,TOR,Raptors,9-9,98,BKN,Nets,9-10,112
11/23/2022,IND,Pacers,10-7,101,MIN,Timberwolves,10-8,115
11/23/2022,OKC,Thunder,7-11,126,DEN,Nuggets,11-7,131
11/25/2022,MIL,Bucks,13-5,117,CLE,Cavaliers,12-7,102
11/25/2022,MEM,Grizzlies,11-8,132,NOP,Pelicans,11-8,111
11/25/2022,NYK,Knicks,9-10,129,POR,Trail Blazers,11-8,132
11/25/2022,GSW,Warriors,10-10,129,UTA,Jazz,12-9,118
11/25/2022,MIA,Heat,9-11,110,WAS,Wizards,10-9,107
11/25/2022,ORL,Magic,5-14,99,PHI,76ers,10-9,107
11/25/2022,BOS,Celtics,15-4,122,SAC,Kings,10-8,104
11/25/2022,CHA,Hornets,6-14,110,MIN,Timberwolves,10-9,108
11/25/2022,SAS,Spurs,6-14,94,LAL,Lakers,6-11,105
11/25/2022,IND,Pacers,11-7,128,BKN,Nets,9-11,117
11/25/2022,PHX,Suns,12-6,108,DET,Pistons,5-16,102
11/25/2022,HOU,Rockets,4-14,128,ATL,Hawks,11-8,122
11/25/2022,OKC,Thunder,8-11,123,CHI,Bulls,8-11,119
11/25/2022,LAC,Clippers,11-9,104,DEN,Nuggets,12-7,114
11/26/2022,TOR,Raptors,10-9,105,DAL,Mavericks,9-9,100
11/26/2022,HOU,Rockets,5-14,118,OKC,Thunder,8-12,105
11/26/2022,SAS,Spurs,6-15,138,LAL,Lakers,7-11,143
11/26/2022,PHX,Suns,13-6,113,UTA,Jazz,12-10,112
11/27/2022,ATL,Hawks,11-9,98,MIA,Heat,10-11,106
11/27/2022,LAC,Clippers,12-9,114,IND,Pacers,11-8,100
11/27/2022,DET,Pistons,5-17,94,CLE,Cavaliers,13-7,102
11/27/2022,MIN,Timberwolves,10-10,114,GSW,Warriors,11-10,137
11/27/2022,BKN,Nets,10-11,111,POR,Trail Blazers,11-9,97
11/27/2022,NYK,Knicks,9-11,123,MEM,Grizzlies,12-8,127
11/27/2022,ORL,Magic,5-15,103,PHI,76ers,11-9,133
11/27/2022,BOS,Celtics,16-4,130,WAS,Wizards,10-10,121
11/27/2022,MIL,Bucks,14-5,124,DAL,Mavericks,9-10,115
11/28/2022,TOR,Raptors,11-9,100,CLE,Cavaliers,13-8,88
11/28/2022,BKN,Nets,11-11,109,ORL,Magic,5-16,102
11/28/2022,DEN,Nuggets,13-7,129,HOU,Rockets,5-15,113
11/28/2022,UTA,Jazz,12-11,107,CHI,Bulls,9-11,114
11/28/2022,BOS,Celtics,17-4,140,CHA,Hornets,6-15,105
11/28/2022,WAS,Wizards,11-10,142,MIN,Timberwolves,10-11,127
11/28/2022,NOP,Pelicans,12-8,105,OKC,Thunder,8-13,101
11/28/2022,PHI,76ers,12-9,104,ATL,Hawks,11-10,101
11/28/2022,LAL,Lakers,7-12,115,IND,Pacers,12-8,116
11/28/2022,SAC,Kings,10-9,117,PHX,Suns,14-6,122
11/29/2022,DAL,Mavericks,10-10,116,GSW,Warriors,11-11,113
11/29/2022,POR,Trail Blazers,11-10,112,LAC,Clippers,13-9,118
11/29/2022,DET,Pistons,5-18,110,NYK,Knicks,10-11,140
11/30/2022,PHX,Suns,15-6,132,CHI,Bulls,9-12,113
11/30/2022,OKC,Thunder,9-13,119,SAS,Spurs,6-16,111
11/30/2022,LAL,Lakers,8-12,128,POR,Trail Blazers,11-11,109
11/30/2022,UTA,Jazz,13-11,125,LAC,Clippers,13-10,112
