game_date_est,team_abbreviation_home,team_nickname_home,team_wins_losses_home,pts_home,team_abbreviation_away,team_nickname_away,team_wins_losses_away,pts_away
2/28/2023,DAL,Mavericks,32-31,122,IND,Pacers,28-35,124
2/28/2023,OKC,Thunder,28-33,117,SAC,Kings,36-25,123
2/28/2023,TOR,Raptors,31-32,104,CHI,Bulls,28-34,98
2/28/2023,MEM,Grizzlies,37-23,121,LAL,Lakers,29-33,109
2/28/2023,GSW,Warriors,32-30,123,POR,Trail Blazers,29-32,105
2/28/2023,BKN,Nets,34-27,104,MIL,Bucks,44-17,118
2/28/2023,HOU,Rockets,13-48,112,DEN,Nuggets,44-19,133
2/28/2023,LAC,Clippers,33-31,101,MIN,Timberwolves,32-32,108
3/1/2023,NYK,Knicks,37-27,142,BKN,Nets,34-28,118
3/1/2023,OKC,Thunder,28-34,117,LAL,Lakers,30-33,123
3/1/2023,DET,Pistons,15-48,115,CHI,Bulls,29-34,117
3/1/2023,CHA,Hornets,20-44,91,PHX,Suns,34-29,105
3/1/2023,MIA,Heat,33-30,96,PHI,76ers,40-21,119
3/1/2023,BOS,Celtics,45-18,117,CLE,Cavaliers,39-26,113
3/1/2023,HOU,Rockets,13-49,99,MEM,Grizzlies,38-23,113
3/1/2023,POR,Trail Blazers,29-33,110,NOP,Pelicans,31-32,121
3/1/2023,MIL,Bucks,45-17,139,ORL,Magic,26-37,117
3/2/2023,GSW,Warriors,33-30,115,LAC,Clippers,33-32,91
3/2/2023,WAS,Wizards,30-32,119,TOR,Raptors,31-33,108
3/2/2023,DAL,Mavericks,33-31,133,PHI,76ers,40-22,126
3/2/2023,SAS,Spurs,16-47,110,IND,Pacers,28-36,99
3/3/2023,GSW,Warriors,34-30,108,NOP,Pelicans,31-33,99
3/3/2023,LAL,Lakers,30-34,102,MIN,Timberwolves,33-32,110
3/3/2023,BOS,Celtics,45-19,105,BKN,Nets,35-28,115
3/3/2023,CHI,Bulls,29-35,104,PHX,Suns,35-29,125
3/3/2023,SAC,Kings,37-25,128,LAC,Clippers,33-33,127
3/3/2023,DEN,Nuggets,45-19,113,MEM,Grizzlies,38-24,97
3/3/2023,CHA,Hornets,20-45,106,ORL,Magic,27-37,117
3/3/2023,ATL,Hawks,32-31,129,POR,Trail Blazers,29-34,111
3/3/2023,MIA,Heat,33-31,120,NYK,Knicks,38-27,122
3/3/2023,OKC,Thunder,29-34,130,UTA,Jazz,31-33,103
3/4/2023,SAC,Kings,37-26,134,MIN,Timberwolves,34-32,138
3/4/2023,MIL,Bucks,45-18,130,PHI,76ers,41-22,133
3/4/2023,MIA,Heat,34-31,117,ATL,Hawks,32-32,109
3/4/2023,CLE,Cavaliers,40-26,114,DET,Pistons,15-49,90
3/4/2023,SAS,Spurs,16-48,110,HOU,Rockets,14-49,122
3/4/2023,WAS,Wizards,30-33,109,TOR,Raptors,32-33,116
3/5/2023,LAL,Lakers,31-34,113,GSW,Warriors,34-31,105
3/5/2023,HOU,Rockets,14-49,142,SAS,Spurs,16-48,110
3/5/2023,OKC,Thunder,29-34,129,UTA,Jazz,31-33,119
3/5/2023,BKN,Nets,36-28,102,CHA,Hornets,20-46,86
3/5/2023,DAL,Mavericks,33-32,126,PHX,Suns,36-29,130
3/5/2023,CHI,Bulls,29-36,122,IND,Pacers,29-36,125
3/5/2023,WAS,Wizards,30-33,111,MIL,Bucks,45-18,117
3/5/2023,BOS,Celtics,45-19,129,NYK,Knicks,38-27,131
3/5/2023,ORL,Magic,27-38,119,POR,Trail Blazers,30-34,122
3/5/2023,LAC,Clippers,34-33,135,MEM,Grizzlies,38-25,129
3/6/2023,DET,Pistons,15-50,104,POR,Trail Blazers,31-34,110
3/6/2023,SAC,Kings,38-26,123,NOP,Pelicans,31-34,108
3/6/2023,IND,Pacers,29-37,143,PHI,76ers,42-22,147
3/6/2023,CLE,Cavaliers,41-26,118,BOS,Celtics,45-21,114
3/6/2023,MIA,Heat,35-31,130,ATL,Hawks,32-33,128
3/6/2023,DEN,Nuggets,46-19,118,TOR,Raptors,32-34,113
3/7/2023,NYK,Knicks,39-28,105,CHA,Hornets,21-46,112
3/7/2023,HOU,Rockets,15-50,96,BKN,Nets,37-28,118
3/7/2023,LAL,Lakers,32-34,112,MEM,Grizzlies,38-26,103
3/7/2023,ORL,Magic,27-39,123,MIL,Bucks,47-18,134
3/7/2023,OKC,Thunder,31-34,137,GSW,Warriors,34-32,128
3/7/2023,DET,Pistons,15-51,117,WAS,Wizards,31-34,119
3/7/2023,MIN,Timberwolves,34-33,94,PHI,76ers,43-22,117
3/7/2023,DAL,Mavericks,34-32,120,UTA,Jazz,31-35,116
3/8/2023,WAS,Wizards,31-35,120,ATL,Hawks,33-33,122
3/8/2023,BOS,Celtics,46-21,115,POR,Trail Blazers,31-35,93
3/8/2023,NOP,Pelicans,32-34,113,DAL,Mavericks,34-33,106
3/8/2023,MIA,Heat,35-32,100,CLE,Cavaliers,42-26,104
3/8/2023,PHX,Suns,37-29,132,OKC,Thunder,31-35,101
3/8/2023,DEN,Nuggets,46-20,96,CHI,Bulls,30-36,117
3/8/2023,LAC,Clippers,35-33,108,TOR,Raptors,32-35,100
3/9/2023,MIL,Bucks,48-18,118,BKN,Nets,37-29,113
3/9/2023,SAC,Kings,39-26,122,NYK,Knicks,39-29,117
3/9/2023,IND,Pacers,30-37,134,HOU,Rockets,15-51,125
3/9/2023,MEM,Grizzlies,39-26,131,GSW,Warriors,34-33,110
3/9/2023,DET,Pistons,15-52,103,CHA,Hornets,22-46,113
3/9/2023,ORL,Magic,27-40,124,UTA,Jazz,32-35,131
3/10/2023,PHI,76ers,44-22,120,POR,Trail Blazers,31-36,119
3/10/2023,WAS,Wizards,31-36,107,ATL,Hawks,34-33,114
3/10/2023,SAS,Spurs,17-49,128,DEN,Nuggets,46-21,120
3/10/2023,MIA,Heat,36-32,119,CLE,Cavaliers,42-27,115
3/10/2023,MIN,Timberwolves,34-34,123,BKN,Nets,38-29,124
3/10/2023,LAL,Lakers,33-34,122,TOR,Raptors,32-36,112
3/11/2023,ORL,Magic,28-40,126,MIA,Heat,36-33,114
3/11/2023,DET,Pistons,15-53,115,IND,Pacers,31-37,121
3/11/2023,HOU,Rockets,15-52,111,CHI,Bulls,31-36,119
3/11/2023,NOP,Pelicans,32-35,96,OKC,Thunder,32-35,110
3/11/2023,PHX,Suns,37-30,119,SAC,Kings,40-26,128
3/11/2023,LAC,Clippers,36-33,106,NYK,Knicks,39-30,95
3/11/2023,CHA,Hornets,22-47,111,UTA,Jazz,33-35,119
3/11/2023,ATL,Hawks,34-34,125,BOS,Celtics,47-21,134
3/11/2023,MEM,Grizzlies,40-26,112,DAL,Mavericks,34-34,108
3/11/2023,GSW,Warriors,35-33,125,MIL,Bucks,48-19,116
3/12/2023,CHA,Hornets,22-48,108,CLE,Cavaliers,43-27,114
3/12/2023,NOP,Pelicans,33-35,127,POR,Trail Blazers,31-37,110
3/12/2023,LAL,Lakers,33-35,108,NYK,Knicks,40-30,112
3/12/2023,DEN,Nuggets,46-22,120,BKN,Nets,39-29,122
3/12/2023,PHI,76ers,45-22,112,WAS,Wizards,31-37,93
3/12/2023,SAS,Spurs,17-50,90,OKC,Thunder,33-35,102
3/13/2023,DET,Pistons,16-53,117,IND,Pacers,31-38,97
3/13/2023,ATL,Hawks,34-35,115,MIN,Timberwolves,35-34,136
3/13/2023,DAL,Mavericks,34-35,88,MEM,Grizzlies,41-26,104
3/13/2023,MIA,Heat,37-33,119,UTA,Jazz,33-36,115
3/13/2023,HOU,Rockets,16-52,111,BOS,Celtics,47-22,109
3/13/2023,GSW,Warriors,36-33,123,PHX,Suns,37-31,112
3/13/2023,SAC,Kings,40-27,124,MIL,Bucks,49-19,133
3/14/2023,CHA,Hornets,22-49,104,CLE,Cavaliers,44-27,120
3/14/2023,WAS,Wizards,32-37,117,DET,Pistons,16-54,97
3/14/2023,TOR,Raptors,33-36,125,DEN,Nuggets,46-23,110
3/14/2023,NOP,Pelicans,33-36,108,LAL,Lakers,34-35,123
3/14/2023,OKC,Thunder,34-35,121,BKN,Nets,39-30,107
3/14/2023,SAS,Spurs,18-50,132,ORL,Magic,28-41,114
3/14/2023,PHX,Suns,37-32,104,MIL,Bucks,50-19,116
3/14/2023,POR,Trail Blazers,31-38,107,NYK,Knicks,41-30,123
3/15/2023,CLE,Cavaliers,44-28,109,PHI,76ers,46-22,118
3/15/2023,MIA,Heat,38-33,138,MEM,Grizzlies,41-27,119
3/15/2023,CHI,Bulls,31-37,114,SAC,Kings,41-27,117
3/15/2023,HOU,Rockets,17-52,114,LAL,Lakers,34-36,110
3/15/2023,MIN,Timberwolves,35-35,102,BOS,Celtics,48-22,104
3/15/2023,SAS,Spurs,18-51,128,DAL,Mavericks,35-35,137
3/15/2023,LAC,Clippers,37-33,134,GSW,Warriors,36-34,126
3/16/2023,DET,Pistons,16-55,100,DEN,Nuggets,47-23,119
3/16/2023,BKN,Nets,39-31,96,SAC,Kings,42-27,101
3/16/2023,TOR,Raptors,34-36,128,OKC,Thunder,34-36,111
3/16/2023,PHX,Suns,38-32,116,ORL,Magic,28-42,113
3/16/2023,MIL,Bucks,50-20,123,IND,Pacers,32-38,139
3/17/2023,CHA,Hornets,22-50,82,PHI,76ers,47-22,121
3/17/2023,ATL,Hawks,35-35,127,GSW,Warriors,36-35,119
3/17/2023,CLE,Cavaliers,45-28,117,WAS,Wizards,32-38,94
3/17/2023,CHI,Bulls,32-37,139,MIN,Timberwolves,35-36,131
3/17/2023,HOU,Rockets,18-52,114,NOP,Pelicans,33-37,112
3/17/2023,SAS,Spurs,18-52,120,MEM,Grizzlies,42-27,126
3/17/2023,POR,Trail Blazers,31-39,112,BOS,Celtics,49-22,126
3/17/2023,LAL,Lakers,34-37,110,DAL,Mavericks,36-35,111
3/18/2023,NYK,Knicks,42-30,116,DEN,Nuggets,47-24,110
3/18/2023,LAC,Clippers,37-34,108,ORL,Magic,29-42,113
3/18/2023,IND,Pacers,32-39,121,PHI,76ers,48-22,141
3/18/2023,TOR,Raptors,35-36,122,MIN,Timberwolves,35-37,107
3/18/2023,CHI,Bulls,33-37,113,MIA,Heat,38-34,99
3/18/2023,MEM,Grizzlies,43-27,133,GSW,Warriors,36-36,119
3/18/2023,WAS,Wizards,32-39,118,SAC,Kings,43-27,132
3/18/2023,UTA,Jazz,34-36,118,BOS,Celtics,49-23,117
3/19/2023,BKN,Nets,39-32,102,DEN,Nuggets,48-24,108
3/19/2023,OKC,Thunder,35-36,124,PHX,Suns,38-33,120
3/19/2023,SAS,Spurs,19-52,126,ATL,Hawks,35-36,118
3/19/2023,DET,Pistons,16-56,100,MIA,Heat,39-34,112
3/19/2023,HOU,Rockets,18-53,107,NOP,Pelicans,34-37,117
3/19/2023,POR,Trail Blazers,31-40,102,LAC,Clippers,38-34,117
3/19/2023,LAL,Lakers,35-37,111,ORL,Magic,29-43,105
3/19/2023,MIL,Bucks,51-20,118,TOR,Raptors,35-37,111
3/20/2023,CHA,Hornets,23-50,115,IND,Pacers,32-40,109
3/20/2023,PHI,76ers,48-23,105,CHI,Bulls,34-37,109
3/20/2023,NYK,Knicks,42-31,134,MIN,Timberwolves,36-37,140
3/20/2023,HOU,Rockets,18-54,108,GSW,Warriors,37-36,121
3/20/2023,MEM,Grizzlies,44-27,112,DAL,Mavericks,36-36,108
3/20/2023,UTA,Jazz,35-36,128,SAC,Kings,43-28,120
3/21/2023,ORL,Magic,30-43,122,WAS,Wizards,32-40,112
3/21/2023,ATL,Hawks,36-36,129,DET,Pistons,16-57,107
3/21/2023,BKN,Nets,39-33,109,CLE,Cavaliers,46-28,115
3/21/2023,NOP,Pelicans,35-37,119,SAS,Spurs,19-53,84
3/21/2023,SAC,Kings,43-29,109,BOS,Celtics,50-23,132
3/21/2023,LAC,Clippers,38-35,100,OKC,Thunder,36-36,101
3/22/2023,WAS,Wizards,32-41,104,DEN,Nuggets,49-24,118
3/22/2023,DAL,Mavericks,36-37,125,GSW,Warriors,38-36,127
3/22/2023,MIA,Heat,40-34,127,NYK,Knicks,42-32,120
3/22/2023,TOR,Raptors,35-38,114,IND,Pacers,33-40,118
3/22/2023,CHI,Bulls,34-38,91,PHI,76ers,49-23,116
3/22/2023,MEM,Grizzlies,45-27,130,HOU,Rockets,18-55,125
3/22/2023,MIN,Timberwolves,37-37,125,ATL,Hawks,36-37,124
3/22/2023,UTA,Jazz,35-37,115,POR,Trail Blazers,32-40,127
3/22/2023,LAL,Lakers,36-37,122,PHX,Suns,38-34,111
3/22/2023,MIL,Bucks,52-20,130,SAS,Spurs,19-54,94
3/23/2023,ORL,Magic,31-43,111,NYK,Knicks,42-33,106
3/23/2023,BKN,Nets,39-34,114,CLE,Cavaliers,47-28,116
3/23/2023,NOP,Pelicans,36-37,115,CHA,Hornets,23-51,96
3/23/2023,LAC,Clippers,39-35,127,OKC,Thunder,36-37,105
3/24/2023,BOS,Celtics,51-23,120,IND,Pacers,33-41,95
3/24/2023,WAS,Wizards,33-41,136,SAS,Spurs,19-55,124
3/24/2023,TOR,Raptors,36-38,118,DET,Pistons,16-58,97
3/24/2023,MEM,Grizzlies,46-27,151,HOU,Rockets,18-56,114
3/24/2023,DAL,Mavericks,36-38,109,CHA,Hornets,24-51,117
3/24/2023,UTA,Jazz,35-38,116,MIL,Bucks,53-20,144
3/24/2023,GSW,Warriors,39-36,120,PHI,76ers,49-24,112
3/24/2023,POR,Trail Blazers,32-41,96,CHI,Bulls,35-38,124
3/24/2023,SAC,Kings,44-29,135,PHX,Suns,38-35,127
3/24/2023,LAL,Lakers,37-37,116,OKC,Thunder,36-38,111
3/25/2023,ATL,Hawks,37-37,143,IND,Pacers,33-42,130
3/25/2023,MIA,Heat,40-35,100,BKN,Nets,40-34,129
3/25/2023,DEN,Nuggets,50-24,129,MIL,Bucks,53-21,106
3/25/2023,PHX,Suns,39-35,125,PHI,76ers,49-25,105
3/25/2023,SAC,Kings,45-29,121,UTA,Jazz,35-39,113
3/25/2023,LAC,Clippers,39-36,110,NOP,Pelicans,37-37,131
3/26/2023,CHA,Hornets,25-51,110,DAL,Mavericks,36-39,104
3/26/2023,LAL,Lakers,37-38,108,CHI,Bulls,36-38,118
3/26/2023,ATL,Hawks,37-38,119,MEM,Grizzlies,47-27,123
3/26/2023,BOS,Celtics,52-23,137,SAS,Spurs,19-56,93
3/26/2023,CLE,Cavaliers,48-28,108,HOU,Rockets,18-57,91
3/26/2023,ORL,Magic,32-43,119,BKN,Nets,40-35,106
3/26/2023,TOR,Raptors,37-38,114,WAS,Wizards,33-42,104
3/26/2023,POR,Trail Blazers,32-42,112,OKC,Thunder,37-38,118
3/26/2023,GSW,Warriors,39-37,96,MIN,Timberwolves,38-37,99
3/27/2023,DET,Pistons,16-59,117,MIL,Bucks,54-21,126
3/27/2023,IND,Pacers,33-43,104,DAL,Mavericks,37-39,127
3/27/2023,NYK,Knicks,43-33,137,HOU,Rockets,18-58,115
3/27/2023,UTA,Jazz,35-40,103,PHX,Suns,40-35,117
3/27/2023,DEN,Nuggets,51-24,116,PHI,76ers,49-26,111
3/27/2023,POR,Trail Blazers,32-43,90,NOP,Pelicans,38-37,124
3/27/2023,SAC,Kings,45-30,115,MIN,Timberwolves,39-37,119
3/27/2023,LAC,Clippers,40-36,124,CHI,Bulls,36-39,112
3/28/2023,WAS,Wizards,34-42,130,BOS,Celtics,52-24,111
3/28/2023,ATL,Hawks,38-38,120,CLE,Cavaliers,48-29,118
3/28/2023,TOR,Raptors,38-38,106,MIA,Heat,40-36,92
3/28/2023,MEM,Grizzlies,48-27,113,ORL,Magic,32-44,108
3/28/2023,OKC,Thunder,37-39,134,CHA,Hornets,26-51,137
3/28/2023,GSW,Warriors,40-37,120,NOP,Pelicans,38-38,109
3/29/2023,IND,Pacers,33-44,136,MIL,Bucks,55-21,149
3/29/2023,BKN,Nets,41-35,123,HOU,Rockets,18-59,114
3/29/2023,NYK,Knicks,44-33,101,MIA,Heat,40-37,92
3/29/2023,PHI,76ers,50-26,116,DAL,Mavericks,37-40,108
3/29/2023,CHI,Bulls,36-40,110,LAL,Lakers,38-38,121
3/29/2023,MEM,Grizzlies,48-28,132,LAC,Clippers,41-36,141
3/29/2023,OKC,Thunder,38-39,107,DET,Pistons,16-60,106
3/29/2023,SAS,Spurs,19-57,117,UTA,Jazz,36-40,128
3/29/2023,PHX,Suns,41-35,107,MIN,Timberwolves,39-38,100
3/29/2023,POR,Trail Blazers,32-44,80,SAC,Kings,46-30,120
3/30/2023,DEN,Nuggets,51-25,88,NOP,Pelicans,39-38,107
3/30/2023,MIL,Bucks,55-22,99,BOS,Celtics,53-24,140
3/31/2023,CHA,Hornets,26-52,91,CHI,Bulls,37-40,121
3/31/2023,IND,Pacers,34-44,121,OKC,Thunder,38-40,117
3/31/2023,PHI,76ers,51-26,117,TOR,Raptors,38-39,110
3/31/2023,WAS,Wizards,34-43,109,ORL,Magic,33-44,116
3/31/2023,BOS,Celtics,54-24,122,UTA,Jazz,36-41,114
3/31/2023,BKN,Nets,42-35,124,ATL,Hawks,38-39,107
3/31/2023,CLE,Cavaliers,48-30,116,NYK,Knicks,45-33,130
3/31/2023,HOU,Rockets,19-59,121,DET,Pistons,16-61,115
3/31/2023,MEM,Grizzlies,49-28,108,LAC,Clippers,41-37,94
3/31/2023,MIN,Timberwolves,39-39,111,LAL,Lakers,39-38,123
3/31/2023,GSW,Warriors,41-37,130,SAS,Spurs,19-58,115
3/31/2023,POR,Trail Blazers,32-45,114,SAC,Kings,47-30,138
3/31/2023,PHX,Suns,42-35,100,DEN,Nuggets,51-26,93
4/1/2023,MIA,Heat,41-37,129,DAL,Mavericks,37-41,122
4/1/2023,NOP,Pelicans,40-38,122,LAC,Clippers,41-38,114
4/2/2023,CHA,Hornets,26-53,108,TOR,Raptors,39-39,128
4/2/2023,BKN,Nets,43-35,111,UTA,Jazz,36-42,110
4/2/2023,CHI,Bulls,38-40,128,MEM,Grizzlies,49-29,107
4/2/2023,MIN,Timberwolves,39-40,105,POR,Trail Blazers,33-45,107
4/2/2023,ATL,Hawks,39-39,132,DAL,Mavericks,37-42,130
4/2/2023,NYK,Knicks,46-33,118,WAS,Wizards,34-44,109
4/2/2023,ORL,Magic,34-44,128,DET,Pistons,16-62,102
4/2/2023,SAC,Kings,47-31,134,SAS,Spurs,20-58,142
4/2/2023,HOU,Rockets,19-60,109,LAL,Lakers,40-38,134
4/2/2023,OKC,Thunder,38-41,118,PHX,Suns,43-35,128
4/2/2023,CLE,Cavaliers,49-30,115,IND,Pacers,34-45,105
4/2/2023,DEN,Nuggets,52-26,112,GSW,Warriors,41-38,110
4/2/2023,MIL,Bucks,56-22,117,PHI,76ers,51-27,104
4/4/2023,CHA,Hornets,26-54,100,TOR,Raptors,40-39,120
4/4/2023,DET,Pistons,16-63,105,MIA,Heat,42-37,118
4/4/2023,ORL,Magic,34-45,113,CLE,Cavaliers,50-30,117
4/4/2023,WAS,Wizards,34-45,128,MIL,Bucks,57-22,140
4/4/2023,BKN,Nets,43-36,102,MIN,Timberwolves,40-40,107
4/4/2023,CHI,Bulls,38-41,105,ATL,Hawks,40-39,123
4/4/2023,HOU,Rockets,20-60,124,DEN,Nuggets,52-27,103
4/4/2023,MEM,Grizzlies,50-29,119,POR,Trail Blazers,33-46,109
4/4/2023,NOP,Pelicans,40-39,103,SAC,Kings,48-31,121
4/4/2023,PHI,76ers,52-27,103,BOS,Celtics,54-25,101
4/4/2023,UTA,Jazz,36-43,133,LAL,Lakers,41-38,135
4/4/2023,GSW,Warriors,42-38,136,OKC,Thunder,38-42,125
4/4/2023,PHX,Suns,44-35,115,SAS,Spurs,20-59,94
4/5/2023,DET,Pistons,16-64,108,BKN,Nets,44-36,123
4/5/2023,IND,Pacers,34-46,129,NYK,Knicks,47-33,138
4/5/2023,ATL,Hawks,41-39,134,WAS,Wizards,34-46,116
4/5/2023,BOS,Celtics,55-25,97,TOR,Raptors,40-40,93
4/5/2023,NOP,Pelicans,41-39,138,MEM,Grizzlies,50-30,131
4/5/2023,DAL,Mavericks,38-42,123,SAC,Kings,48-32,119
4/5/2023,LAC,Clippers,42-38,125,LAL,Lakers,41-39,118
4/5/2023,MIL,Bucks,58-22,105,CHI,Bulls,38-42,92
4/6/2023,ORL,Magic,34-46,94,CLE,Cavaliers,51-30,118
4/6/2023,PHI,76ers,52-28,101,MIA,Heat,43-37,129
4/6/2023,SAS,Spurs,21-59,129,POR,Trail Blazers,33-47,127
4/6/2023,UTA,Jazz,36-44,98,OKC,Thunder,39-42,114
4/6/2023,PHX,Suns,45-35,119,DEN,Nuggets,52-28,115
4/7/2023,CHA,Hornets,26-55,109,HOU,Rockets,21-60,112
4/7/2023,IND,Pacers,34-47,115,DET,Pistons,17-64,122
4/7/2023,WAS,Wizards,35-46,114,MIA,Heat,43-38,108
4/7/2023,ATL,Hawks,41-40,131,PHI,76ers,53-28,136
4/7/2023,BOS,Celtics,56-25,121,TOR,Raptors,40-41,102
4/7/2023,BKN,Nets,45-36,101,ORL,Magic,34-47,84
4/7/2023,NOP,Pelicans,42-39,113,NYK,Knicks,47-34,105
4/7/2023,DAL,Mavericks,38-43,112,CHI,Bulls,39-42,115
4/7/2023,SAC,Kings,48-33,97,GSW,Warriors,43-38,119
4/7/2023,LAL,Lakers,42-39,121,PHX,Suns,45-36,107
4/7/2023,MIL,Bucks,58-23,114,MEM,Grizzlies,51-30,137
4/8/2023,UTA,Jazz,37-44,118,DEN,Nuggets,52-29,114
4/8/2023,LAC,Clippers,43-38,136,POR,Trail Blazers,33-48,125
4/8/2023,SAS,Spurs,21-60,131,MIN,Timberwolves,41-40,151
4/9/2023,BOS,Celtics,57-25,120,ATL,Hawks,41-41,114
4/9/2023,BKN,Nets,45-37,105,PHI,76ers,54-28,134
4/9/2023,CHI,Bulls,40-42,103,DET,Pistons,17-65,81
4/9/2023,CLE,Cavaliers,51-31,95,CHA,Hornets,27-55,106
4/9/2023,MIA,Heat,44-38,123,ORL,Magic,34-48,110
4/9/2023,NYK,Knicks,47-35,136,IND,Pacers,35-47,141
4/9/2023,TOR,Raptors,41-41,121,MIL,Bucks,58-24,105
4/9/2023,WAS,Wizards,35-47,109,HOU,Rockets,22-60,114
4/9/2023,DAL,Mavericks,38-44,117,SAS,Spurs,22-60,138
4/9/2023,DEN,Nuggets,53-29,109,SAC,Kings,48-34,95
4/9/2023,LAL,Lakers,43-39,128,UTA,Jazz,37-45,117
4/9/2023,MIN,Timberwolves,42-40,113,NOP,Pelicans,42-40,108
4/9/2023,OKC,Thunder,40-42,115,MEM,Grizzlies,51-31,100
4/9/2023,PHX,Suns,45-37,114,LAC,Clippers,44-38,119
4/9/2023,POR,Trail Blazers,33-49,101,GSW,Warriors,44-38,157